Tarih,Dizine eklenmedi,Dizine eklenen,Gösterimler
2026-03-07,754,216,549
2026-03-08,720,217,453
2026-03-09,720,217,680
2026-03-10,720,217,719
2026-03-11,666,218,762
2026-03-12,666,218,832
2026-03-13,666,218,659
2026-03-14,666,218,622
2026-03-15,666,218,643
2026-03-16,665,221,1006
2026-03-17,665,221,973
2026-03-18,640,237,784
2026-03-19,640,237,608
2026-03-20,640,237,515
2026-03-21,640,237,406
2026-03-22,617,236,500
2026-03-23,617,236,821
2026-03-24,617,236,885
2026-03-25,597,253,901
2026-03-26,597,253,850
2026-03-27,597,253,816
2026-03-28,597,253,763
2026-03-29,591,258,594
2026-03-30,591,258,892
2026-03-31,591,258,918
2026-04-01,578,260,814
2026-04-02,578,260,789
2026-04-03,578,260,740
2026-04-04,578,260,623
2026-04-05,559,261,558
2026-04-06,559,261,829
2026-04-07,553,262,842
2026-04-08,553,262,844
2026-04-09,553,262,862
2026-04-10,553,262,756
2026-04-11,546,261,584
2026-04-12,546,261,547
2026-04-13,546,261,940
2026-04-14,537,260,908
2026-04-15,537,260,792
2026-04-16,537,260,754
2026-04-17,537,260,761
2026-04-18,522,261,627
2026-04-19,522,261,527
2026-04-20,522,261,1157
2026-04-21,523,255,1069
2026-04-22,523,255,1057
2026-04-23,523,255,862
2026-04-24,523,255,710
2026-04-25,518,253,554
2026-04-26,518,253,465
2026-04-27,518,253,755
2026-04-28,505,250,908
2026-04-29,505,250,783
2026-04-30,505,250,727
2026-05-01,505,250,584
2026-05-02,507,249,569
2026-05-03,507,249,544
2026-05-04,507,249,777
2026-05-05,517,251,852
2026-05-06,517,251,781
2026-05-07,517,251,863
2026-05-08,517,251,755
2026-05-09,510,255,715
2026-05-10,510,255,619
2026-05-11,510,255,926
2026-05-12,520,276,941
2026-05-13,520,276,922
2026-05-14,520,276,834
2026-05-15,520,276,847
2026-05-16,513,280,617
2026-05-17,513,280,595
2026-05-18,513,280,828
2026-05-19,495,284,841
2026-05-20,495,284,909
2026-05-21,495,284,856
2026-05-22,495,284,779
2026-05-23,485,284,613
2026-05-24,485,284,652
2026-05-25,485,284,811
2026-05-26,463,282,616
2026-05-27,463,282,478
2026-05-28,463,282,533
2026-05-29,463,282,535
