Tarih,Etkilenen sayfa sayısı
2026-03-07,556
2026-03-08,529
2026-03-09,529
2026-03-10,529
2026-03-11,483
2026-03-12,483
2026-03-13,483
2026-03-14,483
2026-03-15,483
2026-03-16,483
2026-03-17,483
2026-03-18,457
2026-03-19,457
2026-03-20,457
2026-03-21,457
2026-03-22,454
2026-03-23,454
2026-03-24,454
2026-03-25,435
2026-03-26,435
2026-03-27,435
2026-03-28,435
2026-03-29,427
2026-03-30,427
2026-03-31,427
2026-04-01,422
2026-04-02,422
2026-04-03,422
2026-04-04,422
2026-04-05,403
2026-04-06,403
2026-04-07,399
2026-04-08,399
2026-04-09,399
2026-04-10,399
2026-04-11,393
2026-04-12,393
2026-04-13,393
2026-04-14,396
2026-04-15,396
2026-04-16,396
2026-04-17,396
2026-04-18,389
2026-04-19,389
2026-04-20,389
2026-04-21,397
2026-04-22,397
2026-04-23,397
2026-04-24,397
2026-04-25,397
2026-04-26,397
2026-04-27,397
2026-04-28,401
2026-04-29,401
2026-04-30,401
2026-05-01,401
2026-05-02,409
2026-05-03,409
2026-05-04,409
2026-05-05,413
2026-05-06,413
2026-05-07,413
2026-05-08,413
2026-05-09,409
2026-05-10,409
2026-05-11,409
2026-05-12,420
2026-05-13,420
2026-05-14,420
2026-05-15,420
2026-05-16,419
2026-05-17,419
2026-05-18,419
2026-05-19,409
2026-05-20,409
2026-05-21,409
2026-05-22,409
2026-05-23,406
2026-05-24,406
2026-05-25,406
2026-05-26,390
2026-05-27,390
2026-05-28,390
2026-05-29,390
