Tarih,Tıklamalar,Gösterimler,TO,Pozisyon
2026-03-02,52,721,7.21%,7.3
2026-03-03,38,736,5.16%,7.6
2026-03-04,56,791,7.08%,8.6
2026-03-05,53,649,8.17%,7.9
2026-03-06,37,577,6.41%,6.4
2026-03-07,20,549,3.64%,9.1
2026-03-08,17,453,3.75%,8.4
2026-03-09,51,680,7.5%,7.6
2026-03-10,36,719,5.01%,8.9
2026-03-11,41,762,5.38%,7.2
2026-03-12,58,832,6.97%,6.9
2026-03-13,31,659,4.7%,6.8
2026-03-14,31,622,4.98%,7.3
2026-03-15,32,643,4.98%,6.6
2026-03-16,56,1006,5.57%,8.1
2026-03-17,56,973,5.76%,7.2
2026-03-18,40,784,5.1%,6.8
2026-03-19,28,608,4.61%,8.6
2026-03-20,20,515,3.88%,7.7
2026-03-21,10,406,2.46%,8.8
2026-03-22,21,500,4.2%,8.9
2026-03-23,41,821,4.99%,8.7
2026-03-24,50,885,5.65%,6.8
2026-03-25,53,901,5.88%,7.6
2026-03-26,52,850,6.12%,7.3
2026-03-27,52,816,6.37%,6.8
2026-03-28,36,763,4.72%,7.2
2026-03-29,24,594,4.04%,7.8
2026-03-30,54,892,6.05%,7.5
2026-03-31,50,918,5.45%,7.6
2026-04-01,58,814,7.13%,7.8
2026-04-02,57,789,7.22%,6.3
2026-04-03,50,740,6.76%,6.7
2026-04-04,28,623,4.49%,6.5
2026-04-05,27,558,4.84%,7.2
2026-04-06,46,829,5.55%,7.8
2026-04-07,41,842,4.87%,8.3
2026-04-08,48,844,5.69%,6.9
2026-04-09,60,862,6.96%,6.1
2026-04-10,45,756,5.95%,6.8
2026-04-11,28,584,4.79%,7.4
2026-04-12,20,547,3.66%,7.7
2026-04-13,48,940,5.11%,7.3
2026-04-14,37,908,4.07%,7.7
2026-04-15,40,792,5.05%,6.7
2026-04-16,37,754,4.91%,8.1
2026-04-17,45,761,5.91%,8.6
2026-04-18,30,627,4.78%,8.7
2026-04-19,36,527,6.83%,8.3
2026-04-20,47,1157,4.06%,6
2026-04-21,32,1069,2.99%,7.9
2026-04-22,54,1057,5.11%,6
2026-04-23,43,862,4.99%,6.6
2026-04-24,35,710,4.93%,7
2026-04-25,27,554,4.87%,8.9
2026-04-26,25,465,5.38%,9
2026-04-27,60,755,7.95%,7.6
2026-04-28,64,908,7.05%,7.6
2026-04-29,54,783,6.9%,6.8
2026-04-30,45,727,6.19%,8
2026-05-01,22,584,3.77%,8.1
2026-05-02,34,569,5.98%,7
2026-05-03,23,544,4.23%,8.2
2026-05-04,49,777,6.31%,6.8
2026-05-05,54,852,6.34%,9.3
2026-05-06,44,781,5.63%,7.4
2026-05-07,41,863,4.75%,8.1
2026-05-08,52,755,6.89%,7
2026-05-09,29,715,4.06%,7.6
2026-05-10,23,619,3.72%,10.4
2026-05-11,34,926,3.67%,6.5
2026-05-12,52,941,5.53%,10
2026-05-13,44,922,4.77%,7.9
2026-05-14,48,834,5.76%,8.3
2026-05-15,46,847,5.43%,8.3
2026-05-16,42,617,6.81%,7.2
2026-05-17,23,595,3.87%,8.2
2026-05-18,33,828,3.99%,7.5
2026-05-19,40,841,4.76%,14.2
2026-05-20,54,909,5.94%,7.1
2026-05-21,45,856,5.26%,7.7
2026-05-22,36,779,4.62%,7.5
2026-05-23,32,613,5.22%,7.2
2026-05-24,23,652,3.53%,6.9
2026-05-25,34,811,4.19%,6.5
2026-05-26,14,616,2.27%,11.8
2026-05-27,15,478,3.14%,9.3
2026-05-28,16,533,3%,7.3
2026-05-29,22,535,4.11%,7.7
2026-05-30,12,442,2.71%,6.9
2026-05-31,30,619,4.85%,7.1
2026-06-01,68,1012,6.72%,5.8
