Ülke,Tıklamalar,Gösterimler,TO,Pozisyon
Türkiye,3145,54394,5.78%,7.28
Almanya,71,790,8.99%,7.77
Hindistan,25,810,3.09%,6.9
Amerika Birleşik Devletleri,19,3129,0.61%,9.03
Güney Kıbrıs Rum Yönetimi,16,177,9.04%,6.33
Çin,15,216,6.94%,8.95
Azerbaycan,15,214,7.01%,7.19
Mısır,14,138,10.14%,5.61
İngiltere,12,291,4.12%,8.12
Ermenistan,12,25,48%,3.2
Endonezya,11,460,2.39%,11.88
Vietnam,10,389,2.57%,7.79
Romanya,10,76,13.16%,7.33
Kosova,10,41,24.39%,5.27
Bulgaristan,9,82,10.98%,6.2
Tayland,8,233,3.43%,6.91
Hong Kong,8,85,9.41%,8.54
İtalya,7,188,3.72%,8.15
Etiyopya,7,106,6.6%,6.54
Fas,7,90,7.78%,10.32
Fransa,6,194,3.09%,9.13
İspanya,6,169,3.55%,7.64
Pakistan,6,149,4.03%,7.03
Polonya,6,142,4.23%,6.65
İran,6,79,7.59%,5.92
Sırpça,6,43,13.95%,6.79
Makedonya,6,40,15%,3.9
Brezilya,5,295,1.69%,8.49
Rusya,5,133,3.76%,10.54
Kazakistan,5,107,4.67%,6.18
Tayvan,5,81,6.17%,7.59
Yunanistan,5,67,7.46%,6.27
Avusturya,4,174,2.3%,23.75
Japonya,4,121,3.31%,9.98
Avustralya,4,87,4.6%,7.36
Georgia,4,45,8.89%,5.49
Malezya,3,212,1.42%,5.76
Kanada,3,203,1.48%,5.76
Hollanda,3,162,1.85%,6.41
Filipinler,3,135,2.22%,6.39
Bangladeş,3,109,2.75%,8.03
Irak,3,96,3.12%,11.4
Colombia,3,68,4.41%,11.25
Cezayir,3,60,5%,8.35
Suriye,3,31,9.68%,7.32
Myanmar (Burma),3,19,15.79%,6.68
Güney Kore,2,162,1.23%,7.65
Nijerya,2,105,1.9%,5.62
Suudi Arabistan,2,101,1.98%,6.79
Özbekistan,2,70,2.86%,6.14
İsviçre,2,65,3.08%,6.18
İsrail,2,55,3.64%,8
Peru,2,44,4.55%,7.57
Portekiz,2,42,4.76%,6.52
Şili,2,42,4.76%,9.02
Belarus,2,31,6.45%,7.13
Slovakya,2,28,7.14%,8.11
Nepal,2,24,8.33%,16.25
Sri Lanka,2,23,8.7%,6.26
Kongo - Kinşasa,2,18,11.11%,6.22
Libya,2,15,13.33%,4.33
Uganda,2,9,22.22%,6.44
Birleşik Arap Emirlikleri,1,91,1.1%,7.96
Singapur,1,85,1.18%,7.66
Ukrayna,1,83,1.2%,14.01
Macaristan,1,71,1.41%,7.32
Belçika,1,60,1.67%,6.68
Hırvatça,1,41,2.44%,6.32
İsveç,1,38,2.63%,8.16
Türkmenistan,1,37,2.7%,5.35
Venezuela,1,37,2.7%,5.7
Ekvador,1,34,2.94%,10.62
Fildişi Sahili,1,21,4.76%,5.38
Lübnan,1,18,5.56%,4.33
Gana,1,16,6.25%,4.75
Guatemala,1,15,6.67%,10
Tunus,1,13,7.69%,6.38
Montenegro,1,11,9.09%,5.73
Mauritius Adası,1,7,14.29%,6.14
Laos,1,6,16.67%,4.33
Malta,1,6,16.67%,14.67
Haiti,1,3,33.33%,6
Küba,1,2,50%,4
Meksika,0,710,0%,24.7
Arjantin,0,81,0%,13.37
Arnavutluk,0,51,0%,9.43
Norveç,0,45,0%,9.11
Güney Afrika,0,43,0%,6.23
Çekya,0,40,0%,7.05
Ürdün,0,35,0%,9.54
Kırgızistan,0,33,0%,7.03
Moldova,0,27,0%,8.07
Bosna Hersek,0,26,0%,5.96
Finlandiya,0,26,0%,8.46
Moğolistan,0,25,0%,9.36
Kenya,0,23,0%,6.91
Danimarka,0,22,0%,9
İrlanda,0,19,0%,5.84
Katar,0,19,0%,6.26
Yeni Zelanda,0,16,0%,5.56
Kamboçya,0,15,0%,4.87
Bolivya,0,14,0%,15.64
Litvanya,0,13,0%,6.23
Dominik Cumhuriyeti,0,13,0%,8.92
Umman,0,13,0%,9.77
Paraguay,0,13,0%,10.62
Slovenya,0,10,0%,8.2
Panama,0,10,0%,14
Tanzanya,0,9,0%,4.44
Letonya,0,9,0%,5.78
Jamaika,0,9,0%,6.11
Zimbabwe,0,9,0%,7.11
Kosta Rika,0,9,0%,10.33
Kamerun,0,8,0%,2.88
El Salvador,0,8,0%,7
Porto Riko,0,7,0%,4.86
Estonya,0,7,0%,6.14
Honduras,0,6,0%,6.83
Bilinmeyen Bölge,0,6,0%,11
Kuveyt,0,5,0%,2.6
Burkina Faso,0,5,0%,3.2
Ruanda,0,5,0%,3.8
Gambia,0,5,0%,4.8
Uruguay,0,5,0%,13.4
Afganistan,0,4,0%,4.75
Maldivler,0,4,0%,5.25
Togo,0,4,0%,6.25
Angola,0,4,0%,11
Senegal,0,4,0%,15.75
Filistin,0,4,0%,24
Bahreyn,0,3,0%,4.67
Cibuti,0,3,0%,5.33
St. Vincent ve Grenadinler,0,3,0%,6.33
Burundi,0,3,0%,7
Tacikistan,0,3,0%,7
Trinidad ve Tobago,0,3,0%,7
Madagaskar,0,3,0%,8
Mali,0,3,0%,9
Yemen,0,3,0%,9
Makau,0,2,0%,1.5
Malawi,0,2,0%,2.5
Lüksemburg,0,2,0%,3
Botswana,0,2,0%,4.5
Cebelitarık,0,2,0%,4.5
Bahamalar,0,2,0%,6
Sierra Leone,0,2,0%,6.5
Barbados,0,2,0%,7
Brunei,0,2,0%,8
Curaçao,0,2,0%,8
Guadeloupe,0,2,0%,9
İzlanda,0,2,0%,9
Guyana,0,2,0%,19
Grenada,0,2,0%,35.5
Monako,0,1,0%,1
Liechtenstein,0,1,0%,2
Gine,0,1,0%,4
New Caledonia,0,1,0%,4
Réunion,0,1,0%,4
Sudan,0,1,0%,4
Sint Maarten,0,1,0%,4
ABD Virjin Adaları,0,1,0%,4
St. Lucia,0,1,0%,6
Mozambik,0,1,0%,7
Zambiya,0,1,0%,7
Andorra,0,1,0%,8
Ekvator Ginesi,0,1,0%,8
Doğu Timor,0,1,0%,8
Turks ve Caicos Adaları,0,1,0%,9
Somali,0,1,0%,13
Svaziland,0,1,0%,52
