id,source,matching,destination,type,category,status,ignore
,/case/ic-mekan-led-ekran/,exact,/ic-mekan-led-ekran/,301,case-cannibal,active,
,/case/dis-mekan-led-ekran/,exact,/dis-mekan-led-ekran/,301,case-cannibal,active,
,/case/rental-ekran/,exact,/rental-ekran/,301,case-cannibal,active,
,/case/kontrol-kartlari/,exact,/kontrol-kartlari/,301,case-cannibal,active,
,/case/ic-mekan-rgb-panel/,exact,/ic-mekan-rgb-panel/,301,case-cannibal,active,
,/dis-mekan-led-ekranlar/,exact,/dis-mekan-led-ekran/,301,plural-slug,active,
,/urunler/ic-mekan-led-ekran/,exact,/ic-mekan-led-ekran/,301,legacy-urunler,active,
,/urunler/dis-mekan-led-ekran/,exact,/dis-mekan-led-ekran/,301,legacy-urunler,active,
,/sozluk/gob-led-nedir/,exact,/gob-led-nedir/,301,sozluk-path,active,
,/led-ekran-2/,exact,/led-ekran/,301,junk-slug,active,
,/led-ekran-9/,exact,/led-ekran/,301,junk-slug,active,
,/led-2/,exact,/led-ekran/,301,junk-slug,active,
,/p2-5-gob-ic-mekan-rgb-panel/,exact,/p2-5-gob-ic-mekan-rgb-led-panel/,301,gob-sku-404,active,
,/p1-25-gob-ic-mekan-rgb-panel/,exact,/p1-25-6000hz-gob-ic-mekan-rgb-led-panel/,301,gob-sku-404,active,
,/p1-53-gob-ic-mekan-rgb-panel/,exact,/p1-53-6000hz-gob-ic-mekan-rgb-led-panel/,301,gob-sku-404,active,
,/p1-86-gob-ic-mekan-rgb-panel/,exact,/p1-86-6000hz-gob-ic-mekan-rgb-led-panel/,301,gob-sku-404,active,
