source,target,category,note
https://ledajans.com/case/ic-mekan-led-ekran/,https://ledajans.com/ic-mekan-led-ekran/,case-cannibal,birebir kopya
https://ledajans.com/case/dis-mekan-led-ekran/,https://ledajans.com/dis-mekan-led-ekran/,case-cannibal,birebir kopya
https://ledajans.com/case/rental-ekran/,https://ledajans.com/rental-ekran/,case-cannibal,eski path
https://ledajans.com/case/kontrol-kartlari/,https://ledajans.com/kontrol-kartlari/,case-cannibal,eski path
https://ledajans.com/case/ic-mekan-rgb-panel/,https://ledajans.com/ic-mekan-rgb-panel/,case-cannibal,eski path
https://ledajans.com/dis-mekan-led-ekranlar/,https://ledajans.com/dis-mekan-led-ekran/,plural-slug,çoğul junk
https://ledajans.com/urunler/ic-mekan-led-ekran/,https://ledajans.com/ic-mekan-led-ekran/,legacy-urunler,404 adayı
https://ledajans.com/urunler/dis-mekan-led-ekran/,https://ledajans.com/dis-mekan-led-ekran/,legacy-urunler,404 adayı
https://ledajans.com/sozluk/gob-led-nedir/,https://ledajans.com/gob-led-nedir/,sozluk-path,sözlük yayın sonrası
https://ledajans.com/led-ekran-2/,https://ledajans.com/led-ekran/,junk-slug,GSC parçalanma
https://ledajans.com/led-ekran-9/,https://ledajans.com/led-ekran/,junk-slug,GSC parçalanma
https://ledajans.com/led-2/,https://ledajans.com/led-ekran/,junk-slug,GSC parçalanma
https://ledajans.com/p2-5-gob-ic-mekan-rgb-panel/,https://ledajans.com/p2-5-gob-ic-mekan-rgb-led-panel/,gob-sku-404,canlı SKU
https://ledajans.com/p1-25-gob-ic-mekan-rgb-panel/,https://ledajans.com/p1-25-6000hz-gob-ic-mekan-rgb-led-panel/,gob-sku-404,canlı SKU
https://ledajans.com/p1-53-gob-ic-mekan-rgb-panel/,https://ledajans.com/p1-53-6000hz-gob-ic-mekan-rgb-led-panel/,gob-sku-404,canlı SKU
https://ledajans.com/p1-86-gob-ic-mekan-rgb-panel/,https://ledajans.com/p1-86-6000hz-gob-ic-mekan-rgb-led-panel/,gob-sku-404,canlı SKU
