id,source,matching,destination,type,category,status,ignore
,/led-ekran-nasil-secilir-rehber/,exact,/blog/led-ekran-nasil-secilir-rehber/,301,blog-migration,active,
,/dis-mekan-led-ekran-fiyatlari-2026/,exact,/blog/dis-mekan-led-ekran-fiyatlari-2026/,301,blog-migration,active,
,/ic-mekan-led-ekran-fiyatlari-2026/,exact,/blog/ic-mekan-led-ekran-fiyatlari-2026/,301,blog-migration,active,
,/rental-led-ekran-kiralama-fiyatlari-2026/,exact,/blog/rental-led-ekran-kiralama-fiyatlari-2026/,301,blog-migration,active,
,/tayor-serisi-outdoor-fixed-full-color-cabinet-nedir/,exact,/blog/tayor-serisi-outdoor-fixed-full-color-cabinet-nedir/,301,blog-migration,active,
,/hd-a4l-nedir-huidu-led-ekran-kontrol-karti-rehberi/,exact,/blog/hd-a4l-nedir-huidu-led-ekran-kontrol-karti-rehberi/,301,blog-migration,active,
,/izmir-led-ekran/,exact,/blog/izmir-led-ekran/,301,blog-migration,active,
,/led-ekran-fiyatlari-2026-mayis/,exact,/blog/led-ekran-fiyatlari-2026-mayis/,301,blog-migration,active,
,/colorlight-x6/,exact,/blog/colorlight-x6/,301,blog-migration,active,
,/led-ekran-fiyatlari-2026-2/,exact,/blog/led-ekran-fiyatlari-2026-2/,301,blog-migration,active,
,/dis-mekan-led-ekran-ip-parlaklik-dayaniklilik/,exact,/blog/dis-mekan-led-ekran-ip-parlaklik-dayaniklilik/,301,blog-migration,active,
,/colorlight-x8m-nedir/,exact,/blog/colorlight-x8m-nedir/,301,blog-migration,active,
,/receiving-card-alici-kart/,exact,/blog/receiving-card-alici-kart/,301,blog-migration,active,
,/led-ekran-fiyatlari-2026/,exact,/blog/led-ekran-fiyatlari-2026/,301,blog-migration,active,
,/colorlight-x4e-ve-x4m/,exact,/blog/colorlight-x4e-ve-x4m/,301,blog-migration,active,
,/huidu-hd-a5l-controller-karti/,exact,/blog/huidu-hd-a5l-controller-karti/,301,blog-migration,active,
,/huidu-r712-receiving-card/,exact,/blog/huidu-r712-receiving-card/,301,blog-migration,active,
,/colorlight-a500/,exact,/blog/colorlight-a500/,301,blog-migration,active,
,/colorlight-a200/,exact,/blog/colorlight-a200/,301,blog-migration,active,
,/huidu-a3l-controller-karti/,exact,/blog/huidu-a3l-controller-karti/,301,blog-migration,active,
,/colorlight-a60-player/,exact,/blog/colorlight-a60-player/,301,blog-migration,active,
,/huidu-c08l-controller/,exact,/blog/huidu-c08l-controller/,301,blog-migration,active,
,/colorlight-a40/,exact,/blog/colorlight-a40/,301,blog-migration,active,
,/colorlight-e120/,exact,/blog/colorlight-e120/,301,blog-migration,active,
,/huidu-c16l/,exact,/blog/huidu-c16l/,301,blog-migration,active,
,/colorlight-a35/,exact,/blog/colorlight-a35/,301,blog-migration,active,
,/e80/,exact,/blog/e80/,301,blog-migration,active,
,/serit-led/,exact,/blog/serit-led/,301,blog-migration,active,
,/de/was-ist-ein-led-streifen/,exact,/blog/was-ist-ein-led-streifen/,301,blog-migration,active,
,/kayan-yazi/,exact,/blog/kayan-yazi/,301,blog-migration,active,
,/de/ticker/,exact,/blog/ticker/,301,blog-migration,active,
